id,category_id,knowledge_id,description,optional,solution,task_type_id,specify,required_stars,required_employee_rank_id,achieve_employee_rank_id
1,1,,"<p>In diesem Kapitel werden die Aufgaben noch sehr leicht sein, um dir ein Gefühl dafür zu geben wie diese Plattform funktioniert.<br/>Außerdem erfährst Du nebenbei schon etwas über JavaScript, ist das nicht toll?</p>",f,"{""0"":true}",2,"{""options"": [{""id"": 0, ""text"": ""Ja""}]}",,,
2,1,1,"<ul><li>An dieser Stelle wird dir die Aufgabenstellung angezeigt</li><li>Direkt unter der Aufgabenstellung findest Du ggf. Informationen, die Du für die Lösung der Aufgabe benötigst<br/>(Die Infos kannst Du auch nochmal in deinem persönlichen Tagebuch nachlesen)</li><li>Im nächsten Feld hast Du dann die Möglichkeit deine Antwort einzugeben/auszuwählen<br/>(Je nach Aufgabe unterscheidet sich die Art der Antwortmöglichkeiten)</li><li>Mit dem Button unten links kannst Du deine Antwort abschicken</li></ul><p><b>Deine Aufgabe:</b> Wähle die richtigen Eigenschaften von JavaScript aus!</p>",f,"{""0"":true,""1"":false,""2"":false,""3"":true,""4"":true}",2,"{""options"": [{""id"": 0, ""text"": ""Dynamisch typisiert""}, {""id"": 1, ""text"": ""Statisch typisiert""}, {""id"": 2, ""text"": ""Prozedural""}, {""id"": 3, ""text"": ""Objektorientiert""}, {""id"": 4, ""text"": ""Prototypen-basiert""}]}",,,
3,1,2,"<ul><li>Wenn Du falsche Antworten abschickst siehst Du über diesem Feld, dass sich die Anzahl deiner Versuche erhöht</li><li>Die Anzahl deiner Versuche beeinflusst deine Bewertung (in Form von Sternen) für diese Aufgabe</li><li>Nachdem Du eine Aufgabe geschafft hast, kannst Du versuchen dich zu verbessern<br/>(Es zählt immer dein bester Durchlauf)</li><li>Du willst wissen, wie Du im Vergleich zu anderen dastehst? Dann schau mal im Sider (links) bei der Rangliste vorbei!</li></ul><p>Wenn Du willst, kannst Du ja mal ausprobieren, was passiert wenn Du die falsche Antwort auswählst.<br/><b>Deine Aufgabe:</b> Wo sollte JavaScript über &lt;script type=""text/javascript""&gt; ... &lt;/script&gt; nicht eingefügt werden?</p>",f,"{""0"":false,""1"":false,""2"":true}",2,"{""options"": [{""id"": 0, ""text"": ""Mit im <head>""}, {""id"": 1, ""text"": ""Immer ganz oben im <body>""}, {""id"": 2, ""text"": ""Unter dem Element, das ggf. referenziert wird (unten im <body>)""}]}",,,
4,1,5,"<ul><li>Es gibt optionale Aufgaben, die Du (wer hätte es gedacht) nicht richtig beantworten musst</li><li>Um die jeweils letzte Aufgabe pro Thema beantworten zu können, brauchst Du aber eine bestimmte Anzahl an Sternen</li><li>Diese erreichst Du mit den Pflicht-Aufgaben nur dann, wenn Du immer 3 Sterne als Bewertung erhälst</li></ul><p>Deine Aufgabe: Wie heißt der Modus, der dich vor Fehlern bewahren kann?</p>",t,"{""0"":false,""1"":true,""2"":false}",2,"{""options"": [{""id"": 0, ""text"": ""Einen solchen Modus gibt nicht""}, {""id"": 1, ""text"": ""Strict Mode""}, {""id"": 2, ""text"": ""Continuous Mode""}]}",,,
5,1,3,"<p>Wenn dir der aktuelle Modus nicht gefällt, kannst Du diesen auf der Startseite wechseln.<br/>(Dein Fortschritt bleibt erhalten)<br/><b>Deine Aufgabe:</b> Kommentiere den Blödsinn aus dem bisherigen Code aus!</p>",t,0,1,"{""placeholder_before"": """", ""placeholder_middle"":""Blödsinn\n\nMehrzeiliger\nBlödsinn"", ""placeholder_after"":""return 0;""}",,,
6,1,4,<p>Mit dem Abschließen von Kapiteln erhälst du Abzeichen bzw. Titel<br/>(Mit dem Abschluss dieses Kapitels bist Du ein Praktikant)<br/><br/><b>Deine Aufgabe: </b>Drücke auf Bestätigen und hab Spaß!</p>,f,0,1,"{""placeholder_before"": ""alert(`Das hier ist eine Alert Box`);"", ""placeholder_middle"": """", ""placeholder_after"": ""return 0;""}",9,,1
7,2,12,"<p>Deklariere die Variable v so, dass der Code ohne Fehler ausgef&uuml;hrt wird.</p>",f,2,1,"{""placeholder_before"": ""{"", ""placeholder_after"": ""}\nv=2;return v;""}",,1,
8,2,13,<p>Welche Variablennamen sind erlaubt? (Ab ES6)</p>,f,"{""0"":true,""1"":false,""2"":true,""3"":true,""4"":false,""5"":false,""6"":true}",2,"{""options"": [{""id"":0,""text"":""_xf""},{""id"":1,""text"":""4d""},{""id"":2,""text"":""$3""},{""id"":3,""text"":""MyName""},{""id"":4,""text"":""N-M""},{""id"":5,""text"":"".N""},{""id"":6,""text"":""_$_$_""}]}",,1,
14,3,19,"<p>Gebe folgenden String zurück (Ersetze alle Anführungszeichen):<br/>&apos;JS ist ""toll""!&apos; wirkt sarkastischer als ""JS ist &apos;toll&apos;!""</p>",t,"\'JS ist \""toll\""!\' wirkt sarkastischer als \""JS ist \'toll\'!\""",1,"{""placeholder_middle"":""return ' ';""}",,2,
9,2,14,"<p>Welche Variablen haben den Wert&nbsp;<strong>undefined</strong>?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">let a;</p><p style=""padding-left: 30px;"">let b = a;</p><p style=""padding-left: 30px;"">a = 5;</p><p style=""padding-left: 30px;"">let c = a;</p><p style=""padding-left: 30px;"">a = b;</p>",f,"{""0"":true,""1"":true,""2"":false}",2,"{""options"": [{""id"":0,""text"":""a""},{""id"":1,""text"":""b""},{""id"":2,""text"":""c""}]}",,1,
11,3,16,<p>Ordne den Variablen die richtigen Datentypen zu.</p>,f,"{""0"":""number"",""1"":""string"",""2"":""number"",""3"":""boolean"",""4"":""undefined"",""5"":""null""}",3,"{""selects"": [{""id"":0,""label"":""let var1 = 10;"",""options"":[""string"",""number"",""boolean"",""null"",""undefined""]},{""id"":1,""label"":""let var2 =&apos;Max&apos;"",""options"":[""string"",""number"",""boolean"",""null"",""undefined""]},{""id"":2,""label"":""let var3 = 1.5"",""options"":[""string"",""number"",""boolean"",""null"",""undefined""]},{""id"":3,""label"":""let var4 = true"",""options"":[""string"",""number"",""boolean"",""null"",""undefined""]},{""id"":4,""label"":""let var5"",""options"":[""string"",""number"",""boolean"",""null"",""undefined""]},{""id"":5,""label"":""let var6 = null"",""options"":[""string"",""number"",""boolean"",""null"",""undefined""]}]}",,2,
12,3,17,"<div><div>Welche Werte haben die Variablen nachdem folgender Code ausgef&uuml;hrt wurde?</div><div>&nbsp;</div><div style=""padding-left: 30px;"">let&nbsp;a = 0, b = 4, c = 0;</div><div style=""padding-left: 30px;"">c = a + b;</div><div style=""padding-left: 30px;"">b++;</div><div style=""padding-left: 30px;"">c = b % 2;</div></div>",f,"{""0"":""0"",""1"":""5"",""2"":""1""}",4,"{""inputs"":[{""id"":0,""label"":""a""},{""id"":1,""label"":""b""},{""id"":2,""label"":""c""}]}",,2,
13,3,18,"<p>Welche Vergleiche geben den Wert ""true"" zurück?</p>",f,"{""0"":true,""1"":false,""2"":false,""3"":true,""4"":true}",2,"{""options"":[{""id"":0,""text"":""&apos;5&apos; == 5;""},{""id"":1,""text"":""5.1 == 5;""},{""id"":2,""text"":""5 === &apos;5&apos;""},{""id"":3,""text"":""&apos;3.1&apos; == 3.1""},{""id"":4,""text"":""&apos;3&apos; < 4""}]}",,2,
15,3,20,"<p>Was sind die Ergebnisse der folgenden Stringoperationen?</p><p style=""padding-left: 30px;"">var str = &apos;This is a message&apos;;</p>",f,"{""0"":""This"",""1"":""is"",""2"":""This is one message"",""3"":""This is a message!"",""4"":""5""}",4,"{""inputs"":[{""id"":0,""label"":""str.substring(0, 4);""},{""id"":1,""label"":""str.substring(5, 2);""},{""id"":2,""label"":""str.replace(&apos;is a&apos;, &apos;is one&apos;);""},{""id"":3,""label"":""str.concat(&apos;!&apos;);""},{""id"":4,""label"":""str.lastIndexOf(&apos;i&apos;);""}]}",,2,
10,2,15,"<p>Welcher Text wird auf der Console ausgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">x = 42;</p><p style=""padding-left: 30px;"">console.log(x + "" "" + y);</p><p style=""padding-left: 30px;"">var x;</p><p style=""padding-left: 30px;"">var y = 9;</p>",f,"{""0"":""42 undefined""}",4,"{""inputs"": [{""id"":0,""label"":""Ausgabe:""}]}",16,1,2
16,3,21,"<p>Verwende Operationen auf die Variablen, sodass folgender String zurückgegeben wird:<br /> JavaScript 4 ever &lt;3</p>",f,JavaScript 4 ever <3,1,"{""placeholder_before"":""let a = &apos;javascript&apos;;\nlet c = &apos;EVER&apos;;\nlet d = &apos;<3&apos;;"", ""placeholder_after"":""let b = parseInt(d) + 1; // parseInt() wandelt einen String zu einer number/int\nreturn a + &apos; &apos; + b + &apos; &apos; + c + &apos; &apos; + d;""}",28,2,3
21,4,26,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">let v = 3;</p><p style=""padding-left: 30px;"">do {</p><p style=""padding-left: 60px;"">v += 1;</p><p style=""padding-left: 30px;"">} while (v &lt; 2);</p><p style=""padding-left: 30px;"">return v;</p><p style=""padding-left: 30px;"">&nbsp;</p>",f,"{""0"":""4""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,3,
22,4,27,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">let v = 4;</p><p style=""padding-left: 30px;"">while (v &gt; 0) {</p><p style=""padding-left: 60px;"">if (v == 3) {</p><p style=""padding-left: 90px;"">break;</p><p style=""padding-left: 60px;"">}</p><p style=""padding-left: 60px;"">v--;</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">return v;</p>",f,"{""0"":""3""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,3,
17,4,22,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">let v = 2;</p><p style=""padding-left: 30px;"">if (v &lt; 2) {</p><p style=""padding-left: 60px;"">return ""a"";</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">else if (v &gt;= 3) {</p><p style=""padding-left: 60px;"">return ""b"";</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">else {</p><p style=""padding-left: 60px;"">return ""c"";</p><p style=""padding-left: 30px;"">}</p>",f,"{""0"":""c""}",3,"{""selects"":[{""id"":0,""label"":"""",""options"":[""a"",""b"",""c""]}]}",,3,
18,4,23,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">let v = 2;</p><p style=""padding-left: 30px;"">let z = v + 7;</p><p style=""padding-left: 30px;"">switch (z) {</p><p style=""padding-left: 60px;"">case 2:</p><p style=""padding-left: 90px;"">return ""a"";</p><p style=""padding-left: 60px;"">case 9:</p><p style=""padding-left: 90px;"">return ""b"";</p><p style=""padding-left: 60px;"">default:</p><p style=""padding-left: 90px;"">return ""c"";</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">&nbsp;</p>",f,"{""0"":""b""}",3,"{""selects"":[{""id"":0,""label"":"""",""options"":[""a"",""b"",""c""]}]}",,3,
19,4,24,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">let v = 2;</p><p style=""padding-left: 30px;"">let i = 0;</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">while ( i &lt; 10 ) {</p><p style=""padding-left: 60px;"">v += 2;</p><p style=""padding-left: 60px;"">i += 3;</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">return v;</p>",f,"{""0"":""10""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,3,
20,4,25,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p>&nbsp;</p><p style=""padding-left: 30px;"">let v = 3;</p><p style=""padding-left: 30px;"">for (let i = 0; i &lt; v; i += 2) {</p><p style=""padding-left: 60px;"">v += 1;</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">return v;</p><p style=""padding-left: 30px;"">&nbsp;</p>",f,"{""0"":""6""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,3,
30,6,35,<p>Entferne alle ungeraden Zahlen aus dem Array.</p>,f,"0,2,6,10,12",1,"{""placeholder_before"":""let arr = [1,2,3,5,6,7,9,10,11,12,13]"",""placeholder_after"":""return arr;""}",,5,
23,4,28,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">let v = 4;</p><p style=""padding-left: 30px;"">let y = 0;</p><p style=""padding-left: 30px;"">while (v % 2 != 1) {</p><p style=""padding-left: 60px;"">v /= 2;</p><p style=""padding-left: 60px;"">let z = 2;</p><p style=""padding-left: 60px;"">for(let i = 0; i &lt;= 5; i+= 2) {</p><p style=""padding-left: 90px;"">if(y &lt; 5) {</p><p style=""padding-left: 120px;"">switch (i) {</p><p style=""padding-left: 150px;"">case 2:</p><p style=""padding-left: 180px;"">y += 1;</p><p style=""padding-left: 150px;"">default:</p><p style=""padding-left: 180px;"">y += 2;</p><p style=""padding-left: 120px;"">}</p><p style=""padding-left: 90px;"">}</p><p style=""padding-left: 90px;"">else {</p><p style=""padding-left: 120px;"">break;</p><p style=""padding-left: 90px;"">}</p><p style=""padding-left: 60px;"">}</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">do {</p><p style=""padding-left: 60px;"">v += y;</p><p style=""padding-left: 60px;"">y -= 3;</p><p style=""padding-left: 30px;"">} while (y &gt; 5);</p><p style=""padding-left: 30px;"">return v;</p>",f,"{""0"":""6""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",40,3,4
24,5,29,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">return myFunction() + 2;</p><p style=""padding-left: 30px;"">&nbsp;</p><p>Hinweis: Die Funktionsdefinition von myFunction findest du in der Info.</p>",f,"{""0"":""3""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,4,
25,5,30,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">let z = myFunction();</p><p style=""padding-left: 30px;"">return z + 1;</p><p style=""padding-left: 30px;"">&nbsp;</p><p>Hinweis: Die Funktionsdefinition von myFunction findest du in der Info.</p>",f,"{""0"":""2""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,4,
26,5,31,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">return myFunction(9) - 5;</p><p style=""padding-left: 30px;"">&nbsp;</p><p>Hinweis: Die Funktionsdefinition von myFunction findest du in der Info.</p>",f,"{""0"":""4""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,4,
27,5,32,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">return myFunction(5) - myFunction();</p><p style=""padding-left: 30px;"">&nbsp;</p><p>Hinweis: Die Funktionsdefinition von myFunction findest du in der Info.</p>",f,"{""0"":""2""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",,4,
28,5,33,"<p>Welcher Wert wird zur&uuml;ckgegeben?</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">function minus(a, b) {</p><p style=""padding-left: 60px;"">return a - b;</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">&nbsp;</p><p style=""padding-left: 30px;"">function weirdFunction(fn, x, y) {</p><p style=""padding-left: 60px;"">return fn(fn(x, y), y);</p><p style=""padding-left: 30px;"">}</p><p style=""padding-left: 30px;"">return weirdFunction(minus, 5, 2);</p><p style=""padding-left: 30px;"">&nbsp;</p>",f,"{""0"":""1""}",4,"{""inputs"":[{""id"":0,""label"":""""}]}",48,4,5
